ip.src,ip.dst,tcp.srcport,tcp.dstport,dicom.pdu.type,dicom.pdu.len,dicom.assoc.version,dicom.assoc.ae.called,dicom.assoc.ae.calling,dicom.assoc.reject.result,dicom.assoc.reject.source,dicom.assoc.reject.reason,dicom.assoc.abort.source,dicom.assoc.abort.reason,dicom.assoc.item.type,dicom.assoc.item.len,dicom.actx,dicom.pctx.id,dicom.pctx.result,dicom.pctx.abss.syntax,dicom.pctx.xfer.syntax,dicom.userinfo.uid,dicom.userinfo.version,dicom.userinfo.extneg.sopclassuid,dicom.userinfo.extneg.relational,dicom.userinfo.extneg.datetimematching,dicom.userinfo.extneg.fuzzymatching,dicom.userinfo.extneg.timezone,dicom.userinfo.rolesel.sopclassuid,dicom.userinfo.rolesel.scurole,dicom.userinfo.rolesel.scprole,dicom.userinfo.asyncneg.maxnumopsinv,dicom.userinfo.asyncneg.maxnumopsper,dicom.userinfo.user_identify.type,dicom.userinfo.user_identify.response_requested,dicom.userinfo.user_identify.primary_field,dicom.userinfo.user_identify.secondary_field,dicom.max_pdu_len,dicom.pdv.len,dicom.pdv.ctx,dicom.pdv.flags,dicom.tag,dicom.tag.vr,dicom.tag.vl,dicom.tag.value.str
"192.168.126.124","192.168.126.104","4242","52428","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52432","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52432","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52438","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52438","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52448","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52448","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52456","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52456","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52458","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52458","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52464","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52464","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52468","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52468","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52478","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52478","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52486","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52486","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52494","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52494","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52506","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52506","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52512","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52512","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52516","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52516","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52530","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52530","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52542","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52542","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52554","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52554","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52564","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52564","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52576","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52576","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52580","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52580","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52590","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52590","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52604","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52604","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52614","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52614","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
"192.168.126.104","192.168.126.124","52620","4242","0x01","225","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x20,0x30,0x40,0x50,0x51,0x52,0x55","21,62,28,22,62,4,32,14","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01",,"X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1)","JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.826.0.1.3680043.9.3811.2.1.0","PYNETDICOM_210",,,,,,,,,,,,,,,"16382",,,,,,,
"192.168.126.124","192.168.126.104","4242","52620","0x02","189","1","MyOrthanc       ","MODALITY        ",,,,,,"0x10,0x21,0x40,0x50,0x51,0x52,0x55","21,30,22,58,4,27,15","DICOM Application Context Name (1.2.840.10008.3.1.1.1)","0x01","0x00",,"JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)","1.2.276.0.7230010.3.0.3.6.6","OFFIS_DCMTK_366",,,,,,,,,,,,,,,"16384",,,,,,,
